"","naics2","PWCOUNTY","PERWT.sum","cntyind","ainsemp","p_ainsemp","einsemp","p_einsemp","looking4work","p_looking4work","trantime","NPBOSS90","SEI","HWSEI","PRENT","PRESGL","UHRSWORK","WKSWORK1","p_burd"
"1",11,25,6772,"2511",6245,0.922179562906084,3301,0.487448316597755,97,0.0143236857649144,21.0565564087419,224.36045481394,17.1952155936208,2136.18281157708,302.600265800354,251.613851151802,43.5208210277614,41.706438275251,0.174703182930615
"2",11,37,19964,"3711",15927,0.797786014826688,9306,0.466139050290523,138,0.00691244239631336,24.3314966940493,214.613454217592,14.2089260669205,2074.53000400721,300.221298337007,254.626928471248,40.2116810258465,44.7415848527349,0.263004030785551
"3",11,59,10994,"5911",9415,0.856376205202838,4976,0.452610514826269,NA,NA,23.2279425140986,262.271875568492,16.7979807167546,2215.68501000546,322.198744769874,284.169910860469,41.7841549936329,43.8958522830635,0.267614898308457
"4",11,65,14783,"6511",13386,0.905499560305757,5736,0.38801325847257,NA,NA,18.9355340593925,242.261313671109,16.9025908137726,2200.87702090239,296.978894676317,265.207468037611,43.8931881214909,45.9434485557735,0.232174716561814
"5",11,71,5461,"7111",5136,0.940487090276506,3823,0.700054934993591,NA,NA,29.8699871818348,281.409265702252,19.8600988829885,2360.7974729903,329.827504120125,284.917963742904,42.7839223585424,43.0836843069035,0.215159181086881
"6",11,111,23400,"11111",9980,0.426495726495726,6756,0.288717948717949,102,0.00435897435897436,24.3454700854701,187.166324786325,11.9838034188034,1898.62055555556,278.600982905983,227.323717948718,38.801282051282,46.7307264957265,0.251477732435908
"7",21,25,152,"2521",152,1,152,1,NA,NA,70,390,27,2919,435,328,50,52,0.352040050062578
"8",21,37,2794,"3721",2691,0.963135289906943,2165,0.774874731567645,NA,NA,43.4910522548318,512.304223335719,41.5068002863278,3529.10594130279,470.381173944166,398.803865425913,42.8725841088046,47.9545454545455,0.166793547476101
"9",21,59,1088,"5921",1088,1,999,0.918198529411765,NA,NA,12.5854779411765,644.374080882353,55.9025735294118,3923.10845588235,457.876838235294,446.386948529412,45.1930147058824,49.8768382352941,0.253149631857462
"10",21,65,833,"6521",833,1,515,0.618247298919568,NA,NA,31.0420168067227,427.912364945978,25.6062424969988,3062.44897959184,345.674669867947,403.521008403361,45.7623049219688,52,0.127665585930304
"11",21,71,757,"7121",757,1,631,0.833553500660502,NA,NA,50.1783355350066,452.297225891678,31.3606340819022,3116.0858652576,437.504623513871,368.638044914135,53.9022457067371,52,0.10584057307523
"12",21,111,628,"11121",628,1,628,1,NA,NA,32.2802547770701,624.914012738854,60.9140127388535,4255.36624203822,530.993630573248,481.105095541401,56.8519108280255,52,0.234578039486019
"13",22,25,2041,"2522",1999,0.979421852033317,1999,0.979421852033317,NA,NA,13.3145516903479,585.708966193043,48.829005389515,3867.78539931406,444.549240568349,400.414502694757,48.2253797158256,52,0.0988363392655927
"14",22,37,30502,"3722",30037,0.984755098026359,27672,0.907219198741066,42,0.00137695888794177,26.4088584355124,577.174119729854,49.658022424759,4094.89056455314,479.475280309488,427.765294079077,43.0935676349092,50.9958035538653,0.234783356748625
"15",22,59,7013,"5922",6953,0.991444460288036,6601,0.941251960644517,NA,NA,24.3516326821617,604.988735206046,53.3376586339655,4195.36147155283,479.787537430486,437.215884785399,41.9830315129046,49.4995009268501,0.208665437986289
"16",22,65,8715,"6522",8715,1,7408,0.850028686173264,NA,NA,31.7186460126219,538.077337923121,46.0219162363741,3769.93138267355,440.062421113024,403.265519219736,40.8800917957544,51.6699942627653,0.160130005198352
"17",22,71,7922,"7122",7647,0.96528654380207,7457,0.941302701338046,NA,NA,24.9108810906337,592.444837162333,52.9745013885383,4116.41428932088,479.703357737945,423.514642766978,39.7643271901035,51.1216864428175,0.165177024634835
"18",22,111,2114,"11122",2074,0.981078524124882,1879,0.88883632923368,NA,NA,27.7180700094607,561.800851466414,53.0345316934721,4335.58514664144,488.613528855251,434.345789971618,40.9815515610218,51.1466414380322,0.213997394388035
"19",23,25,2047,"2523",1517,0.741084513922814,1238,0.604787493893503,NA,NA,22.7186126038105,441.197850512946,32.704445530044,3225.87298485589,476.987787005374,364.881289692233,43.2149487054226,50.9506595017098,0.124018112648442
"20",23,37,293081,"3723",215204,0.734281649100419,130381,0.444863365417751,3376,0.011518999866931,36.0571821441854,381.873710680665,32.0793432532303,3205.4335866194,430.711874874182,348.963180827143,39.6372504529465,46.5800921929432,0.266921284453806
"21",23,59,106454,"5923",89008,0.836117008285269,63632,0.597741747609296,1087,0.0102109831476506,34.8941796456686,440.090236158341,38.1189809683056,3443.44221917448,448.925507731039,379.909848385218,40.1820222819246,47.8699532192308,0.244496446382053
"22",23,65,80544,"6523",65544,0.813766388557807,46211,0.573736094557012,246,0.00305423122765197,34.7446613031387,385.198102900278,33.4050581048868,3217.59305472785,430.621411899086,362.231463547874,39.4738528009535,47.6702920143027,0.207575282011993
"23",23,71,65222,"7123",53323,0.817561558983165,37027,0.567707215356781,548,0.00840207292018031,33.5336082916807,384.609211615712,32.9721566342645,3186.25091226887,430.480236729938,354.621201435099,40.2903774799914,48.4649811413327,0.181745203472127
"24",23,111,22745,"11123",18048,0.793493075401187,11573,0.508815124203122,502,0.0220707847878655,30.7639041547593,401.144339415256,33.7950318751374,3256.32222466476,441.215915585843,364.737612662124,40.0604968124863,47.424488898659,0.268092225481451
"25",31,25,765,"2531",765,1,623,0.81437908496732,NA,NA,28.4313725490196,342.177777777778,22.1555555555556,2465.64052287582,333.824836601307,334.098039215686,42.8039215686275,50.0418300653595,0.117290022917479
"26",31,37,88494,"3731",73398,0.829412163536511,45929,0.519006938323502,1073,0.0121251158270617,26.1412073134902,366.065902773069,34.5651908603973,2770.05374375664,365.972167604583,355.030668745904,39.3472551811422,46.6457160937465,0.298116604576856
"27",31,59,20754,"5931",18569,0.894719090295847,14246,0.68642189457454,187,0.00901031126529826,20.9611641129421,477.043798785776,44.4797147537824,3351.01570781536,414.760817191867,394.534547557097,38.8253348752048,45.8177218849378,0.242933036148456
"28",31,65,9430,"6531",7991,0.847401908801697,4769,0.505726405090138,94,0.00996818663838812,22.9908801696713,354.871261930011,31.450901378579,2772.25493107105,353.803181336161,334.717073170732,41.0264050901379,46.5973488865323,0.198022207942846
"29",31,71,13917,"7131",12176,0.874901199971258,8549,0.614284687791909,260,0.0186821872529999,23.9826111949414,388.034418337285,35.4498095853992,2921.84551268233,367.423223395847,351.39771502479,39.386290148739,47.7830710641661,0.163562036569187
"30",31,111,4675,"11131",4356,0.931764705882353,2859,0.611550802139037,NA,NA,20.6027807486631,449.40513368984,40.2014973262032,3150.15935828877,407.169197860963,394.667807486631,41.3416042780749,49.0282352941176,0.242812758231318
"31",32,25,428,"2532",323,0.754672897196262,210,0.490654205607477,NA,NA,24.2406542056075,379.897196261682,25.6191588785047,2964.23831775701,380.761682242991,320.598130841121,40.8714953271028,50.7102803738318,0.193484082402932
"32",32,37,80470,"3732",72857,0.905393314278613,58064,0.721560830123027,622,0.00772958866658382,26.498334783149,503.68221697527,44.4298123524295,3596.77381632907,433.769827264819,404.885684105878,41.6198210513235,48.8238349695539,0.251187955516314
"33",32,59,37605,"5932",34051,0.905491291051722,26583,0.706900678101316,278,0.00739263395825023,21.9658556043079,563.183991490493,49.1998138545406,3861.64371759075,466.777955059168,421.931897354075,42.2738731551655,49.2481053051456,0.235016177085823
"34",32,65,12701,"6532",10954,0.862451775450752,8163,0.64270529879537,89,0.00700732225808991,27.9257538776474,432.4661050311,35.6730178726085,3131.2310841666,394.079442563578,360.580820407842,42.1584127234076,50.1689630737737,0.211245663991455
"35",32,71,19466,"7132",17326,0.890064728244118,13241,0.680211651083941,283,0.0145381691153807,29.249511969588,423.64574129251,35.6804171375732,3154.01972670297,384.968406452276,355.008065344704,41.1585328264667,49.686735847118,0.173229049759891
"36",32,111,10794,"11132",10654,0.987029831387808,8362,0.774689642393923,208,0.0192699647952566,19.9994441356309,567.587455994071,51.6023716879748,4074.69232907171,462.077079859181,439.317027978507,42.0394663702057,50.9911061700945,0.234089989960656
"37",33,25,991,"2533",991,1,842,0.849646821392533,NA,NA,24.7325933400605,500.769929364278,42.7245206861756,3644.2805247225,430.174571140262,373.009081735621,40.6962663975782,50.9868819374369,0.385227233166443
"38",33,37,227590,"3733",209223,0.919297860187179,169763,0.745915901401643,1844,0.00810228920427084,25.5732237796037,561.918247726174,48.1707939716156,3926.07049079485,471.697548222681,431.830950393251,41.5309328177864,48.9987257788128,0.23775305714245
"39",33,59,126521,"5933",120112,0.949344377613203,100910,0.797575106108867,531,0.00419693173465274,22.8931481730306,606.008243690771,52.9899384291936,4196.77617154464,491.256099777902,451.127117237455,41.4957200780898,49.2032943147778,0.218374284414278
"40",33,65,40379,"6533",36987,0.915995938482875,29622,0.733599148072018,289,0.00715718566581639,25.4733153371802,513.668491047327,44.5510290002229,3661.19829614404,450.348052205354,413.430545580624,41.1664231407415,49.0713489685232,0.20752454644666
"41",33,71,36426,"7133",33129,0.909487728545544,26915,0.738895294569813,262,0.00719266458024488,25.4320540273431,493.323148300664,42.0463405259979,3519.66935705265,429.995442815571,396.429830340965,41.632103442596,49.1900291000933,0.207519760042814
"42",33,111,22821,"11133",21657,0.948994347311687,18387,0.805705271460497,209,0.00915823145348582,20.3615967749003,567.620875509399,49.2199290127514,4020.81284781561,475.402830726086,436.448358967618,41.9097322641427,49.2860523202314,0.218561290778343
"43",42,25,1070,"2542",1070,1,683,0.638317757009346,NA,NA,13.0355140186916,381.131775700935,38.3308411214953,3065.12242990654,373.793457943925,343.399065420561,44.1990654205607,51.7588785046729,0.230597929553814
"44",42,37,148882,"3742",128590,0.863704141534907,89453,0.600831531011136,1022,0.00686449671551967,25.1014561867788,497.759245577034,45.6324203060142,3434.86424819656,403.520190486425,384.12274149998,40.3464824491879,48.2228812079365,0.270752772171256
"45",42,59,48397,"5942",44770,0.925057338264768,33883,0.700105378432547,268,0.00553753331818088,19.8422009628696,575.03285327603,54.0601276938653,3856.80606235924,449.961712502841,425.460400438044,40.8811289955989,49.1832758228816,0.239039089006584
"46",42,65,25604,"6542",22626,0.883690048429933,18594,0.726214653960319,382,0.0149195438212779,24.0901031088892,471.808194032182,45.2180128104984,3456.74195438213,395.894118106546,385.153140134354,41.4680518668958,49.9740665521012,0.207504335510458
"47",42,71,28488,"7142",26411,0.927092108958158,19492,0.684217916315642,117,0.00410699241786015,24.1354605447908,429.992944397641,37.3933586071328,3162.10737854535,370.021588037068,354.826418140972,41.9222830665543,49.1052723953946,0.219034847289934
"48",42,111,11795,"11142",10408,0.882407799915218,7180,0.608732513777024,395,0.0334887664264519,14.2440864773209,504.738024586689,48.1909283594744,3477.0666384061,424.584569732938,393.450445103858,41.4170411191183,48.904111911827,0.23486880061369
"49",44,25,5180,"2544",4683,0.904054054054054,3071,0.592857142857143,122,0.0235521235521236,22.4247104247104,347.726447876448,49.1042471042471,2961.69208494208,367.728764478765,378.820849420849,33.1650579150579,49.4364864864865,0.134557797478975
"50",44,37,296990,"3744",262139,0.882652614566147,174061,0.586083706522105,3893,0.0131081854607899,23.7245462810196,360.082097040304,45.6552543856696,3078.5156099532,379.104030438735,376.332294016634,36.4947944375231,46.4068790194956,0.272924332309175
"51",44,59,98781,"5944",91552,0.926817910326885,64395,0.651896619795305,1465,0.0148307872971523,21.5897895344246,384.912493293245,47.1187981494417,3186.68822951782,388.712475071117,384.47305655946,36.739686781871,46.2039663498041,0.256390520880317
"52",44,65,69349,"6544",62837,0.906098141285383,42818,0.617427792758367,479,0.00690709310876869,22.3876479833884,332.483957951809,42.2065206419703,2972.72859017434,362.898974750898,357.305166621004,37.0524881396992,47.5695972544665,0.215962902249463
"53",44,71,77165,"7144",68752,0.890973887124992,46404,0.601360720533921,1255,0.0162638501911488,23.3348927622627,321.985381973693,40.0899112291842,2878.51457266896,356.434899241884,349.788505151299,36.4369597615499,47.1455323009136,0.187964624723149
"54",44,111,25838,"11144",23747,0.919072683644245,15556,0.602058982893413,481,0.0186159919498413,19.4335474881957,382.812678999923,48.8533555228733,3193.05979564982,387.510952860128,384.056041489279,34.888304048301,46.6168821116185,0.252174599345254
"55",45,25,1873,"2545",1873,1,1471,0.785371062466631,NA,NA,9.58675920982381,256.680192205019,37.9273892151628,2851.25787506674,320.589428723972,325.692471970101,34.0453817405232,50.3085958355579,0.14712522127946
"56",45,37,145407,"3745",129006,0.887206255544781,81202,0.558446292131741,1367,0.00940119801660168,21.2299889276307,374.919770024827,46.7243461456464,3174.03237808359,374.691012124588,372.770760692401,35.2069845330692,44.875824410104,0.283686395507663
"57",45,59,50169,"5945",45919,0.915286332197174,31272,0.623333134007056,554,0.0110426757559449,20.0005182483207,384.449939205485,48.7447228368116,3203.22862723993,382.640275867568,382.680101257749,33.4462118041021,44.7093623552393,0.281690458864027
"58",45,65,41259,"6545",39008,0.945442206548874,28706,0.695751230034659,448,0.0108582369907172,23.0565694757507,327.764463510992,39.8598124045663,2919.65188201362,341.371773431251,345.229816524879,36.9027363726702,45.6088853341089,0.231084991679833
"59",45,71,44818,"7145",38972,0.869561336962827,27039,0.603306707126601,147,0.00327993217011022,24.3016645097952,331.560132089785,38.994979695658,2943.33830157526,344.154982373154,340.411888080682,34.9699451113392,45.9810344058191,0.202408098261161
"60",45,111,12939,"11145",11419,0.882525697503671,7398,0.571759795965685,187,0.0144524306360615,18.454208207744,381.649663807095,45.7446479635211,3213.88623541232,377.14784759255,370.659401808486,33.2278383182626,44.5671999381714,0.271714022852509
"61",48,25,726,"2548",726,1,561,0.772727272727273,NA,NA,15.004132231405,325.823691460055,18.0977961432507,2562.86639118457,341.865013774105,319.873278236915,46.3512396694215,52,0.241065377843676
"62",48,37,166535,"3748",141994,0.852637583691116,98260,0.590026120635302,2062,0.0123817816074699,29.5524424295193,408.61361875882,30.1086138049059,3156.41937130333,363.706229921638,343.534950610983,41.5834629357192,47.3058576275257,0.249635686895227
"63",48,59,26856,"5948",24090,0.897006255585344,16203,0.603328865058088,515,0.0191763479296991,22.7242701817099,412.759830205541,30.4896484956807,3187.09886058981,365.454795948764,347.234696157283,40.4785522788204,48.1650655347036,0.241821123831072
"64",48,65,24059,"6548",19947,0.829086828213974,12919,0.536971611455173,118,0.0049046095016418,30.4405420009144,385.628704434931,25.6258780497943,2937.59054823559,346.507336132009,328.630990481732,41.6405918782992,49.4427449187414,0.19213499027375
"65",48,71,43578,"7148",35593,0.81676534030933,23342,0.535637248152738,415,0.00952315388498784,29.3403781724723,394.987493689476,26.4046537243563,2920.19977970536,345.489444214971,342.700032126302,43.3626830051861,47.7735095690486,0.217122366521497
"66",48,111,5543,"11148",4763,0.859281977268627,3379,0.609597690781165,NA,NA,22.426123038066,418.343496301642,30.2850441998918,3083.7140537615,369.823741656143,350.57586144687,41.0303084972037,49.6851885260689,0.231658614390038
"67",49,25,849,"2549",764,0.899882214369847,673,0.792697290930506,NA,NA,19.4051825677267,287.037691401649,17.020023557126,2559.26501766784,281.951707891637,245.474676089517,35.50765606596,37.0412249705536,0.289494955180866
"68",49,37,115731,"3749",97136,0.839325677649031,69225,0.598154340669311,1388,0.0119933293585988,26.2608635542767,347.485911294295,30.6628388245155,2989.20263369365,322.35172944155,300.574660203403,38.3303090788121,46.0095825664688,0.263275945299163
"69",49,59,25225,"5949",22293,0.883766105054509,16886,0.669415262636273,291,0.0115361744301288,23.118414271556,373.224420218038,33.4095540138751,3137.74917740337,332.703746283449,313.223825569871,36.9729633300297,46.1145292368682,0.253521513652583
"70",49,65,39301,"6549",34297,0.872674995547187,24376,0.620238670771736,191,0.0048599272283148,27.0560545533193,335.808452711127,30.2246762168902,2869.48100557238,318.69586015623,300.513549273555,36.6732653113152,45.1774255108012,0.204070555707116
"71",49,71,60417,"7149",53472,0.885048910074979,37225,0.616134531671549,1389,0.0229902179850042,26.4024032970853,289.52175712134,23.8924143866792,2611.93376036546,298.851962196071,278.149593657414,38.9588691924458,46.7818991343496,0.199666950784305
"72",49,111,4869,"11149",4190,0.860546313411378,3240,0.66543438077634,NA,NA,19.7870199219552,348.288354898336,29.152392688437,3026.14746354488,331.263914561512,308.422057917437,33.9644690901623,39.4181556787841,0.200207415565454
"73",51,25,35,"2551",35,1,35,1,NA,NA,5,808,68,4788,565,503,40,52,0.0293877551020408
"74",51,37,204598,"3751",195543,0.955742480376152,161042,0.787114243540993,2611,0.0127616105729284,16.9455224391245,662.412306083148,60.2849685725178,4736.68691287305,522.211668735765,469.722577933313,42.6942540982805,46.0105426250501,0.255761089380315
